Date Time, Water Level, Sigma, I, L 
2018-09-09 00:00,1.160,0.075,0,0
2018-09-09 01:00,4.061,0.075,0,0
2018-09-09 02:00,5.990,0.052,0,0
2018-09-09 03:00,6.584,0.039,0,0
2018-09-09 04:00,5.599,0.052,0,0
2018-09-09 05:00,3.562,0.085,0,0
2018-09-09 06:00,0.970,0.085,0,0
2018-09-09 07:00,-2.039,0.098,0,0
2018-09-09 08:00,-4.637,0.069,0,0
2018-09-09 09:00,-6.054,0.023,0,0
2018-09-09 10:00,-5.526,0.039,0,0
2018-09-09 11:00,-3.512,0.072,0,0
2018-09-09 12:00,-1.130,0.069,0,0
2018-09-09 13:00,1.833,0.085,0,0
2018-09-09 14:00,4.507,0.066,0,0
2018-09-09 15:00,5.927,0.039,0,0
2018-09-09 16:00,5.816,0.049,0,0
2018-09-09 17:00,4.313,0.059,0,0
2018-09-09 18:00,1.961,0.075,0,0
2018-09-09 19:00,-0.880,0.102,0,0
2018-09-09 20:00,-3.712,0.082,0,0
2018-09-09 21:00,-5.601,0.049,0,0
2018-09-09 22:00,-5.680,0.039,0,0
2018-09-09 23:00,-3.751,0.075,0,0
2018-09-10 00:00,-1.356,0.095,0,0
2018-09-10 01:00,1.613,0.098,0,0
2018-09-10 02:00,4.589,0.085,0,0
2018-09-10 03:00,6.495,0.059,0,0
2018-09-10 04:00,6.974,0.023,0,0
2018-09-10 05:00,5.783,0.069,0,0
2018-09-10 06:00,3.555,0.089,0,0
2018-09-10 07:00,0.727,0.105,0,0
2018-09-10 08:00,-2.547,0.105,0,0
2018-09-10 09:00,-5.168,0.069,0,0
2018-09-10 10:00,-6.464,0.026,0,0
2018-09-10 11:00,-5.569,0.056,0,0
2018-09-10 12:00,-3.393,0.085,0,0
2018-09-10 13:00,-0.690,0.095,0,0
2018-09-10 14:00,2.414,0.108,0,0
2018-09-10 15:00,5.127,0.082,0,0
2018-09-10 16:00,6.351,0.033,0,0
2018-09-10 17:00,6.141,0.043,0,0
2018-09-10 18:00,4.451,0.059,0,0
2018-09-10 19:00,1.879,0.000,0,0
2018-09-10 20:00,-1.038,0.098,0,0
2018-09-10 21:00,-3.892,0.075,0,0
2018-09-10 22:00,-5.789,0.036,0,0
2018-09-10 23:00,-5.720,0.036,0,0
2018-09-11 00:00,-3.909,0.082,0,0
2018-09-11 01:00,-1.274,0.102,0,0
2018-09-11 02:00,1.613,0.098,0,0
2018-09-11 03:00,4.618,0.072,0,0
2018-09-11 04:00,6.387,0.043,0,0
2018-09-11 05:00,6.731,0.026,0,0
2018-09-11 06:00,5.445,0.075,0,0
2018-09-11 07:00,3.267,0.082,0,0
2018-09-11 08:00,0.514,0.102,0,0
2018-09-11 09:00,-2.642,0.105,0,0
2018-09-11 10:00,-5.162,0.062,0,0
2018-09-11 11:00,-6.179,0.013,0,0
2018-09-11 12:00,-5.047,0.062,0,0
2018-09-11 13:00,-2.747,0.079,0,0
2018-09-11 14:00,-0.060,0.092,0,0
2018-09-11 15:00,3.053,0.089,0,0
2018-09-11 16:00,5.432,0.062,0,0
2018-09-11 17:00,6.433,0.010,0,0
2018-09-11 18:00,5.770,0.036,0,0
2018-09-11 19:00,3.995,0.066,0,0
2018-09-11 20:00,1.374,0.082,0,0
2018-09-11 21:00,-1.527,0.121,0,0
2018-09-11 22:00,-4.407,0.082,0,0
2018-09-11 23:00,-6.044,0.030,0,0
2018-09-12 00:00,-5.710,0.043,0,0
2018-09-12 01:00,-3.584,0.069,0,0
2018-09-12 02:00,-1.143,0.085,0,0
2018-09-12 03:00,1.744,0.105,0,0
2018-09-12 04:00,4.533,0.062,0,0
2018-09-12 05:00,6.052,0.023,0,0
2018-09-12 06:00,6.108,0.026,0,0
2018-09-12 07:00,4.645,0.059,0,0
2018-09-12 08:00,2.348,0.079,0,0
2018-09-12 09:00,-0.287,0.092,0,0
2018-09-12 10:00,-3.325,0.085,0,0
2018-09-12 11:00,-5.542,0.052,0,0
2018-09-12 12:00,-6.080,0.020,0,0
2018-09-12 13:00,-4.535,0.066,0,0
2018-09-12 14:00,-2.298,0.072,0,0
2018-09-12 15:00,0.396,0.112,0,0
2018-09-12 16:00,3.234,0.095,0,0
2018-09-12 17:00,5.343,0.043,0,0
2018-09-12 18:00,6.013,0.030,0,0
2018-09-12 19:00,5.127,0.049,0,0
2018-09-12 20:00,3.106,0.072,0,0
2018-09-12 21:00,0.678,0.082,0,0
2018-09-12 22:00,-2.878,0.000,1,0
2018-09-12 23:00,-5.077,0.000,1,0
2018-09-13 00:00,-5.884,0.000,1,0
2018-09-13 01:00,-5.182,0.000,1,0
2018-09-13 02:00,-3.341,0.000,1,0
2018-09-13 03:00,-0.651,0.000,1,0
2018-09-13 04:00,2.256,0.000,1,0
2018-09-13 05:00,4.435,0.000,1,0
2018-09-13 06:00,5.507,0.000,1,0
2018-09-13 07:00,5.314,0.000,1,0
2018-09-13 08:00,3.782,0.000,1,0
2018-09-13 09:00,1.298,0.000,1,0
2018-09-13 10:00,-1.681,0.000,1,0
2018-09-13 11:00,-4.037,0.000,1,0
2018-09-13 12:00,-5.378,0.030,0,0
2018-09-13 13:00,-5.542,0.023,0,0
2018-09-13 14:00,-3.797,0.059,0,0
2018-09-13 15:00,-1.566,0.075,0,0
2018-09-13 16:00,0.996,0.075,0,0
2018-09-13 17:00,3.641,0.072,0,0
2018-09-13 18:00,5.465,0.033,0,0
2018-09-13 19:00,5.737,0.023,0,0
2018-09-13 20:00,4.674,0.052,0,0
2018-09-13 21:00,2.627,0.075,0,0
2018-09-13 22:00,0.176,0.089,0,0
2018-09-13 23:00,-2.504,0.075,0,0
2018-09-14 00:00,-4.716,0.062,0,0
2018-09-14 01:00,-5.723,0.007,0,0
2018-09-14 02:00,-4.765,0.052,0,0
2018-09-14 03:00,-2.993,0.052,0,0
2018-09-14 04:00,-0.628,0.075,0,0
2018-09-14 05:00,1.892,0.000,1,0
2018-09-14 06:00,4.087,0.046,0,0
2018-09-14 07:00,5.124,0.013,0,0
2018-09-14 08:00,4.641,0.036,0,0
2018-09-14 09:00,3.162,0.062,0,0
2018-09-14 10:00,1.190,0.062,0,0
2018-09-14 11:00,-1.248,0.089,0,0
2018-09-14 12:00,-3.535,0.052,0,0
2018-09-14 13:00,-4.899,0.033,0,0
2018-09-14 14:00,-4.519,0.039,0,0
2018-09-14 15:00,-2.773,0.069,0,0
2018-09-14 16:00,-0.805,0.069,0,0
2018-09-14 17:00,1.623,0.066,0,0
2018-09-14 18:00,3.854,0.075,0,0
2018-09-14 19:00,5.258,0.033,0,0
2018-09-14 20:00,5.265,0.033,0,0
